7:302,29,58,616,138,8,301,650,736,899
18:47812,32205,16042,43893,54038,26299,63512,85561,17608,85564
19:19480,17
36:2162,17,84,654,6450,29,354,70,616,736
37:20959,17,8,301,103,84,947,4364,787,616
41:17,302,101,654,616,138,58,354,736,902
42:21949,17,47550,23010,518,18263,84,3642,58571,58
43:14906,29732,1678,6977,2983,19982,16726,15676,6960,14761
44:302,616,84,6,861,285,8,354,239,76
45:347,31315,4858,53818,23970,11751,15580,14021,106466,47964
46:302,1102,8,58,354,616,736,650,289,6450
59:654,1102,616,354,29,58,138,301,650,76
60:302,29,58,84,616,1102,650,138,76,8
69:302,654,58,29,650,354,138,736,101,564
70:18150,302,31670,654,14769,68787,354,84,29,76
94:17,616,302,327,654,1410,2548,84,1744,119
106:29,84,1102,736,8,101,6,518,70,162
115:58,29,8,138,354,518,289,301,861,285
116:19277,1326,719,1528,2153,226,1400,463,984,9417
142:58,84,29,8,1102,301,81,861,6,61
143:20803,26921,54720,81237,34178,35992,42524,280,85640,28956
148:1527,986,13544,3107,8283,16680,1712,3172,1884,2241
150:17,302,654,650,29,861,8,736,84,322
156:302,84,8,58,1102,616,29,354,301,40367
161:84,616,29,138,301,650,101,289,76,6
171:302,84,1102,354,650,6,138,301,8,736
172:654,58,84,1102,861,8,138,285,542,354
174:57606,109231,115036,122852,91046,38437,19585,64416,78778,87724
177:654,17,29,58,616,84,1102,6,650,542
196:29,616,354,650,736,76,289,101,542,322
202:302,58,1102,354,8,138,736,301,518,542
211:53187,122005,67519,106389,95581,19749,12160,7794,17822,24899
217:5111,10230,3196,10997,2548,11592,9885,42506,5627,16505
220:10178,186,22713,7649,39446,64973,13192,58738,7478,40356
223:302,654,58,616,84,29,354,1102,8,650
224:4797,601,4589,8694,769,12993,584,6417,37744,16127
225:302,1187,654,84,616,58,2162,29,301,1102
228:361,10039,17,650,302,5097,3568,654,890,616
229:58,84,1102,736,518,101,285,361,6,866
231:302,654,84,58,76,616,1102,354,29,8
232:120622,60364,62228,37449,73208,77677,10261,41443,78975,83516
238:13814,9055,441,3618,4421,62328,22915,47138,10536,4513
241:58,616,84,29,1102,650,354,518,138,76
245:80508,114452,62162,12895,16786,35859,14059,8588,2677,17759
249:17,302,654,84,1827,301,94,2696,2403,29
250:302,654,616,84,58,138,8,29,1102,301
253:189,1527,3107,8848,3172,4825,6434,5624,4568,7831
257:17,84,1102,354,138,301,861,6,542,285
272:654,1102,29,58,354,8,616,138,650,301
273:17,302,654,736,138,650,354,101,76,289
288:17,616,58,84,29,1102,650,354,76,301
290:138,226,17,354,302,84,899,736,654,986
291:15989,23,26067,16852,10384,26721,84,518,54443,16625
292:654,58,616,138,301,289,76,285,542,70
294:17,302,1102,8,29,354,301,76,736,138
328:302,654,84,58,29,354,1102,616,866,301
331:302,654,17,616,58,6,1102,84,285,861
345:1754,77581,805,92129,83173,11401,120518,80736,62840,28511
361:29,58,354,616,8,138,650,736,301,76
376:302,17,58,29,616,84,1102,395,6,354
384:17,616,654,302,650,8,84,29,542,1102
401:1102,58,616,29,354,899,650,301,138,2162
402:302,654,84,1102,8,354,285,301,861,138
410:4755,3172,2880,10041,4825,984,7831,463,8848,8860
448:302,616,654,58,327,8,84,245,70,76
449:17,2139,70,698,361,226,616,40,302,81
450:302,654,84,29,1102,138,15,76,285,354
452:27205,36183,13523,86436,112343,17100,56536,29121,50599,74916
476:69277,12386,71577,47309,6164,1840,12716,62415,68244,16784
488:17,302,616,1102,58,29,518,354,138,736
490:17,302,29,650,101,138,354,301,289,15
494:17,616,654,58,29,1102,84,8,542,101
500:17,3448,76,409,302,84,14750,776,564,29
514:5693,8927,31739,6906,13087,17,719,76,4146,9874
525:1187,875,302,84,654,70,354,616,58,564
535:17,29,1102,354,8,650,6,138,301,285
536:302,654,616,84,58,29,736,138,1102,76
538:1102,302,654,616,9603,58,354,29,736,42657
539:17,654,58,29,84,8,1102,138,564,736
564:84,1102,650,736,76,8,289,6,285,518
582:616,29,84,1102,138,354,76,518,6,736
585:46483,4284,35767,373,17,29340,105161,115815,76923,44829
590:654,29,8,354,650,736,301,101,518,76
601:31717,121660,121234,118676,105155,94414,90819,27912,75023,69110
618:226,17,8359,76,780,138,3423,1462,986,302
624:15450,27045,27444,7006,1589,3190,4261,508,1991,11535
627:11539,83175,6475,15675,120390,122655,31221,19731,32661,7088
628:75280,84119,39233,65861,6526,21488,608,116671,117786,113616
632:13371,36681,59361,76251,28950,42713,2379,34516,59327,59618
633:302,58,654,84,8,289,650,518,1102,29
634:25910,3423,8167,45095,3126,3477,986,1888,39851,48076
646:1913,1995,2638,5097,3568,22856,62347,31631,20467,20322
666:36835,18920,11681,6951,3034,10981,95977,38676,16222,61479
667:17,353,3207,302,2403,27886,2714,58,14993,2696
669:42575,53117,104999,92369,11470,14435,23454,39616,24453,5614
678:17,302,58,654,84,8,1102,29,736,861
680:17,654,616,58,29,650,84,138,8,736
681:18783,764,441,16036,9417,4103,719,2696,14538,2714
682:7711,1528,2318,9783,12722,19962,399,13194,14754,15623
683:112536,45128,69187,71448,97127,27552,104893,66150,71928,74504
684:29161,11984,11470,69720,22890,10493,5480,30357,32348,8860
715:1753,59850,36991,101827,6394,21966,61368,14375,4671,12861
716:70959,56166,8897,4743,890,17480,3568,33321,113437,30874
741:8860,168,7711,984,463,574,1400,10292,8733,5480
750:1102,8,138,354,301,6,736,15,76,162
754:17,302,654,616,58,84,29,76,1102,736
756:616,84,1102,8,354,650,285,138,289,301
757:17894,84976,47161,44447,25728,25072,17072,107887,335,4246
758:70858,14151,46128,94123,19354,38240,34270,10849,42352,18433
763:17,29,84,650,8,354,736,138,301,239
773:39526,58120,105394,31208,94677,18491,28635,22569,16768,7742
774:302,17,650,84,138,8,1102,289,6,564
775:58,1102,354,301,736,138,518,542,76,6
782:26744,7145,100244,60350,302,111491,654,84,18670,899
784:17,302,84,29,650,542,518,76,354,736
793:1734,27447,16241,11396,13203,14193,654,29,109031,728
803:6450,1119,4420,3389,17,70,6945,84,947,138
813:17,616,302,654,84,29,650,518,354,736
815:302,654,58,29,84,76,354,8,1102,138
817:1102,29,58,616,8,138,301,866,650,736
